"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
528816.41,"Curimataú",5.99,2017-01-24,"PARAÍBA","ANA",52.88,12145,"Barra de Santa Rosa","Curimataú","Curimatau",6104.64,"Açude Curimataú","Acude Curimatau","reservatorio","PB",0.07,1.2
1012378.3,"Apodi/Mossoró",4.02,2016-04-05,"RIO GRANDE DO NORTE","ANA",101.24,12146,"Severiano Melo / Itaú","Currais","Currais",9092.09,"Açude Currais (do Angico Velho)","Acude Currais (do Angico Velho)","reservatorio","RN",0,0
0,"Piranhas/Assu",3.82,2016-10-27,"RIO GRANDE DO NORTE","ANA",98.95,12147,"Currais Novos","Currais Novos","Currais Novos",7658.88,"Açude Currais Novos","Acude Currais Novos","reservatorio","RN",0.13,3.3
3364249.35,"Banabuiú",12.17,2017-03-18,"CEARÁ","ANA",336.42,12148,"Morada Nova","Curral Velho","Curral Velho",21766.88,"Açude do Curral Velho","Acude do Curral Velho","reservatorio","CE",10.89,89.5
887045.33,"São Francisco",5.04,2017-03-08,"ALAGOAS","ANA",88.7,12150,"Delmiro Gouveia","Delmiro Gouveia (Sinimbu)","Delmiro Gouveia (Sinimbu)",8794.04,"Açude Delmiro Gouveia","Acude Delmiro Gouveia","reservatorio","AL",3.02,59.9
0,"Curu",5.01,2017-03-16,"CEARÁ","ANA",112.09,12151,"Caridade","Desterro","Desterro",10399.94,"Açude Desterro","Acude Desterro","reservatorio","CE",0,0
0,"Coreaú",13.2,2017-03-17,"CEARÁ","ANA",268.96,12152,"Coreaú","Diamante","Diamante",15503.93,"Açude Diamante","Acude Diamante","reservatorio","CE",2.57,19.5
237166.65,"Alto Jaguaribe",1.77,2017-03-16,"CEARÁ","ANA",23.72,12153,"Saboeiro","Do Coronel","Do Coronel",4555.99,"Açude do Coronel","Acude do Coronel","reservatorio","CE",0.16,9
0,"São Francisco",2.5,2017-03-08,"ALAGOAS","ANA",1.36,12154,"Dois Riachos","Dois Riachos","Dois Riachos",580.41,"Açude Público Dois Riachos","Acude Publico Dois Riachos","reservatorio","AL",0.75,30
711416.93,"Piranhas/Assu",10.32,2017-03-02,"RIO GRANDE DO NORTE","GOVERNO RN",71.14,12155,"Currais Novos","Dourado","Dourado",7306.9,"Açude Dourado","Acude Dourado","reservatorio","RN",1.27,12.3
375965.84,"Ipojuca",2.03,2017-02-24,"PERNAMBUCO","ANA",37.6,12157,"Poção","Duas Serras","Duas Serras",3459.5,"Barragem de Duas Serras","Barragem de Duas Serras","reservatorio","PE",0,0
0,"Acaraú",254,2017-03-18,"CEARÁ","ANA",2190.69,12159,"Santa Quitéria","Edson Queiroz","Edson Queiroz",113660.13,"Açude Edson Queiroz (Serrote)","Acude Edson Queiroz (Serrote)","reservatorio","CE",62.02,24.4
2301780.89,"Médio Jaguaribe",10.39,2017-03-16,"CEARÁ","ANA",230.18,12160,"Iracema","Ema","Ema",16710.62,"Açude da Ema","Acude da Ema","reservatorio","CE",0.14,1.4
849844.43,"Piancó",2.01,2017-03-07,"PARAÍBA","AESA",84.98,12161,"Emas","Emas","Emas",7636.57,"Açude Emas","Acude Emas","reservatorio","PB",0.33,16.2
0,"Mamanguape",0.46,2017-03-03,"PARAÍBA","AESA",1.91,12162,"Montadas","Emidio","Emidio",1312.98,"AçudeEmidio","AcudeEmidio","reservatorio","PB",0,0.6
1124968.02,"Apodi/Mossoró",5.19,2017-03-08,"RIO GRANDE DO NORTE","GOVERNO RN",112.5,12163,"Encanto","Encanto","Encanto",11383.92,"Açude Encanto","Acude Encanto","reservatorio","RN",2.35,45.2
182447931.6,"Piranhas/Assu",2400,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",18244.79,12164,"Itajá / São Rafael / Jucurutu","Engenheiro Armando Ribeiro Gonçalves","Engenheiro Armando Ribeiro Goncalves",528268.77,"Açude Armando Ribeiro Gonçalves","Acude Armando Ribeiro Goncalves","reservatorio","RN",407.83,17
2539540.74,"Médio Piranhas",36.83,2017-03-17,"PARAÍBA","AESA",253.95,12165,"Condado","Engenheiro Arcoverde","Engenheiro Arcoverde",23612.2,"Açude Condado (Engenheiro Arcoverde)","Acude Condado (Engenheiro Arcoverde)","reservatorio","PB",6.5,17.6
